	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	7	4	1	4	random	2	2	3	3	1	122
1	1	1	2	1	C	3	3	4	4	2	122
2	7	1	4	2	random	3	2	3	1	4	122
3	7	4	3	4	random	1	2	1	2	3	122
4	7	4	1	4	random	1	3	2	2	3	122
5	7	4	3	2	random	3	2	1	1	4	122
6	7	2	1	4	random	3	4	3	1	2	122
7	4	3	1	3	random	2	2	4	4	1	122
8	5	4	3	4	random	1	1	2	2	3	122
9	7	2	3	4	random	1	1	4	3	2	122
10	6	2	4	2	random	1	1	3	3	4	122
11	5	3	3	2	A	2	4	1	4	1	122
12	3	3	2	3	random	4	1	4	2	1	122
13	6	2	2	4	B	4	1	3	1	3	122
14	7	4	1	3	random	4	3	2	1	2	122
