	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	1	1	496.0	496.0	464.0	464.0	448.0	448.0	loss	3296	539.0	539	[3, 4, 1, 2, 1, 4, 3, 2]	[3, 4, 1, 2, 1, 4, 3, 2]	random	464.0	464.0	464.0	464.0	134	480.0	480.0	0	480.0	480.0
1	1	1	544.0	544.0	448.0	448.0	464.0	464.0	loss	3408	406.0	406	[4, 1, 3, 2, 4, 1, 3, 2]	[4, 1, 3, 2, 4, 1, 3, 2]	random	496.0	496.0	464.0	464.0	134	528.0	528.0	0	464.0	464.0
2	1	1	480.0	480.0	496.0	496.0	528.0	528.0	loss	3584	470.0	470	[4, 2, 3, 1, 4, 1, 3, 2]	[4, 2, 3, 1, 4, 1, 3, 2]	random	544.0	544.0	528.0	528.0	134	384.0	384.0	0	624.0	624.0
3	1	1	464.0	464.0	560.0	560.0	592.0	592.0	loss	3808	598.0	598	[2, 1, 3, 4, 1, 2, 3, 4]	[2, 1, 3, 4, 1, 2, 3, 4]	random	480.0	480.0	480.0	480.0	134	768.0	768.0	0	464.0	464.0
4	1	1	448.0	448.0	528.0	528.0	400.0	400.0	loss	3568	742.0	742	[3, 4, 2, 1, 2, 3, 1, 4]	[3, 4, 2, 1, 2, 3, 1, 4]	random	464.0	464.0	528.0	528.0	134	704.0	704.0	0	496.0	496.0
5	1	1	624.0	624.0	592.0	592.0	544.0	544.0	loss	3904	534.0	534	[3, 2, 4, 1, 3, 1, 4, 2]	[3, 2, 4, 1, 3, 1, 4, 2]	random	544.0	544.0	640.0	640.0	134	464.0	464.0	0	496.0	495.0
6	1	1	608.0	608.0	720.0	720.0	496.0	496.0	loss	3680	614.0	614	[2, 3, 1, 4, 2, 1, 4, 3]	[2, 3, 1, 4, 2, 1, 4, 3]	random	464.0	464.0	416.0	416.0	134	448.0	448.0	0	528.0	528.0
7	1	1	464.0	464.0	464.0	464.0	560.0	560.0	loss	3632	438.0	438	[4, 1, 2, 3, 1, 4, 3, 2]	[4, 1, 2, 3, 1, 4, 3, 2]	random	672.0	672.0	480.0	480.0	134	560.0	560.0	0	432.0	432.0
8	1	1	480.0	480.0	496.0	496.0	544.0	544.0	loss	3632	483.0	483	[1, 2, 4, 3, 4, 3, 2, 1]	[1, 2, 4, 3, 4, 3, 2, 1]	random	576.0	576.0	464.0	464.0	134	464.0	464.0	0	608.0	608.0
9	1	1	912.0	912.0	512.0	512.0	496.0	496.0	loss	4032	390.0	390	[1, 2, 4, 3, 4, 2, 1, 3]	[1, 2, 4, 3, 4, 2, 1, 3]	random	480.0	480.0	592.0	592.0	134	464.0	464.0	0	576.0	576.0
10	1	1	480.0	480.0	560.0	560.0	544.0	544.0	loss	3696	613.0	613	[3, 1, 4, 2, 3, 4, 2, 1]	[3, 1, 4, 2, 3, 4, 2, 1]	random	688.0	688.0	464.0	464.0	134	496.0	496.0	0	464.0	464.0
11	1	1	480.0	480.0	528.0	528.0	608.0	608.0	loss	3664	694.0	694	[3, 2, 4, 1, 2, 1, 4, 3]	[3, 2, 4, 1, 2, 1, 4, 3]	random	544.0	544.0	544.0	544.0	134	496.0	496.0	0	464.0	464.0
12	1	1	656.0	656.0	512.0	512.0	512.0	512.0	loss	3760	598.0	598	[3, 4, 1, 2, 3, 1, 4, 2]	[3, 4, 1, 2, 3, 1, 4, 2]	random	512.0	512.0	528.0	528.0	134	528.0	528.0	0	512.0	512.0
13	1	1	448.0	448.0	528.0	528.0	512.0	512.0	loss	3328	437.0	437	[4, 1, 2, 3, 2, 3, 1, 4]	[4, 1, 2, 3, 2, 3, 1, 4]	random	416.0	416.0	496.0	496.0	134	480.0	480.0	0	448.0	448.0
14	1	1	704.0	704.0	464.0	464.0	480.0	480.0	loss	3664	469.0	469	[4, 3, 1, 2, 4, 2, 1, 3]	[4, 3, 1, 2, 4, 2, 1, 3]	random	480.0	480.0	544.0	544.0	134	464.0	464.0	0	528.0	528.0
15	1	1	448.0	448.0	640.0	640.0	608.0	608.0	loss	3952	453.0	453	[4, 2, 1, 3, 2, 3, 1, 4]	[4, 2, 1, 3, 2, 3, 1, 4]	random	592.0	592.0	592.0	592.0	134	432.0	432.0	0	640.0	640.0
16	1	1	592.0	592.0	672.0	672.0	464.0	464.0	loss	3616	566.0	566	[2, 3, 4, 1, 3, 2, 4, 1]	[2, 3, 4, 1, 3, 2, 4, 1]	random	448.0	448.0	512.0	512.0	134	448.0	448.0	0	480.0	480.0
17	1	1	448.0	448.0	496.0	496.0	560.0	560.0	loss	3488	374.0	374	[1, 2, 4, 3, 1, 2, 4, 3]	[1, 2, 4, 3, 1, 2, 4, 3]	random	432.0	432.0	512.0	512.0	134	448.0	448.0	0	592.0	592.0
18	1	1	512.0	512.0	704.0	704.0	512.0	512.0	loss	4016	358.0	358	[1, 2, 3, 4, 2, 1, 3, 4]	[1, 2, 3, 4, 2, 1, 3, 4]	random	848.0	847.0	496.0	496.0	134	448.0	448.0	0	496.0	496.0
19	1	1	592.0	592.0	640.0	640.0	752.0	752.0	loss	4000	646.0	646	[3, 1, 4, 2, 3, 1, 4, 2]	[3, 1, 4, 2, 3, 1, 4, 2]	random	448.0	448.0	608.0	608.0	134	480.0	480.0	0	480.0	480.0
20	1	1	608.0	608.0	448.0	448.0	528.0	528.0	loss	3936	486.0	486	[4, 1, 3, 2, 4, 3, 1, 2]	[4, 1, 3, 2, 4, 3, 1, 2]	random	512.0	512.0	656.0	656.0	134	672.0	672.0	0	512.0	512.0
21	1	1	528.0	528.0	464.0	464.0	448.0	448.0	loss	3696	422.0	422	[4, 2, 3, 1, 3, 1, 4, 2]	[4, 2, 3, 1, 3, 1, 4, 2]	random	512.0	512.0	512.0	512.0	134	624.0	624.0	0	608.0	608.0
22	0	1						464.0	loss	1408	486.0	486	[2, 1, 4, 2]	[2, 1, 4, 3, 4, 3, 1, 2]	random					134	464.0	464.0	0	480.0	480.0
23	1	1	896.0	896.0	656.0	656.0	432.0	432.0	loss	4160	556.0	556	[4, 3, 2, 1, 3, 1, 4, 2]	[4, 3, 2, 1, 3, 1, 4, 2]	random	464.0	464.0	592.0	592.0	134	624.0	624.0	0	496.0	496.0
24	1	1	624.0	624.0	592.0	592.0	496.0	496.0	loss	3680	437.0	437	[1, 4, 2, 3, 2, 1, 4, 3]	[1, 4, 2, 3, 2, 1, 4, 3]	random	544.0	544.0	464.0	464.0	134	528.0	528.0	0	432.0	432.0
25	1	1	656.0	656.0	480.0	480.0	480.0	480.0	loss	3632	581.0	581	[3, 2, 1, 4, 1, 3, 4, 2]	[3, 2, 1, 4, 1, 3, 4, 2]	random	560.0	560.0	512.0	512.0	134	400.0	400.0	0	544.0	544.0
26	1	1	512.0	512.0	448.0	448.0	464.0	464.0	loss	3456	501.0	501	[4, 1, 2, 3, 4, 2, 3, 1]	[4, 1, 2, 3, 4, 2, 3, 1]	random	400.0	400.0	544.0	544.0	134	560.0	560.0	0	528.0	528.0
27	1	1	528.0	528.0	544.0	544.0	608.0	608.0	loss	3824	693.0	693	[3, 1, 2, 4, 3, 4, 2, 1]	[3, 1, 2, 4, 3, 4, 2, 1]	random	592.0	592.0	544.0	544.0	134	432.0	432.0	0	576.0	576.0
28	1	1	480.0	480.0	592.0	592.0	560.0	560.0	loss	3664	709.0	709	[3, 4, 2, 1, 3, 2, 4, 1]	[3, 4, 2, 1, 3, 2, 4, 1]	random	480.0	480.0	480.0	480.0	134	592.0	592.0	0	480.0	480.0
29	1	1	576.0	576.0	512.0	512.0	480.0	480.0	loss	3696	437.0	437	[1, 3, 2, 4, 2, 4, 1, 3]	[1, 3, 2, 4, 2, 4, 1, 3]	random	528.0	528.0	496.0	496.0	134	480.0	480.0	0	624.0	624.0
30	1	1	576.0	576.0	448.0	448.0	592.0	592.0	loss	4048	549.0	549	[4, 2, 1, 3, 2, 3, 4, 1]	[4, 2, 1, 3, 2, 3, 4, 1]	random	544.0	544.0	752.0	752.0	134	560.0	560.0	0	576.0	576.0
31	1	1	464.0	464.0	480.0	480.0	496.0	496.0	loss	3472	517.0	517	[2, 3, 1, 4, 3, 4, 1, 2]	[2, 3, 1, 4, 3, 4, 1, 2]	random	512.0	512.0	544.0	544.0	134	496.0	496.0	0	480.0	480.0
32	0	1		480.0	496.0	496.0	560.0	560.0	loss	3824	453.0	453	[1, 4, 2, 3, 1, 3, 4, 3]	[1, 4, 2, 3, 1, 3, 4, 2]	random	544.0	544.0	592.0	592.0	134	672.0	672.0	0	480.0	480.0
33	1	1	480.0	480.0	512.0	512.0	560.0	560.0	loss	3792	603.0	603	[4, 1, 3, 2, 1, 3, 2, 4]	[4, 1, 3, 2, 1, 3, 2, 4]	random	528.0	528.0	672.0	672.0	134	640.0	640.0	0	400.0	400.0
34	1	1	512.0	512.0	528.0	528.0	624.0	624.0	loss	3760	501.0	501	[2, 3, 4, 1, 3, 4, 2, 1]	[2, 3, 4, 1, 3, 4, 2, 1]	random	544.0	544.0	480.0	480.0	134	544.0	544.0	0	528.0	528.0
35	1	1	464.0	464.0	528.0	528.0	480.0	480.0	loss	3408	565.0	565	[2, 3, 1, 4, 2, 3, 4, 1]	[2, 3, 1, 4, 2, 3, 4, 1]	random	464.0	464.0	528.0	528.0	134	480.0	480.0	0	464.0	464.0
36	1	1	416.0	416.0	416.0	416.0	448.0	448.0	loss	3296	453.0	453	[1, 4, 3, 2, 1, 2, 3, 4]	[1, 4, 3, 2, 1, 2, 3, 4]	random	496.0	496.0	432.0	432.0	134	656.0	656.0	0	432.0	432.0
37	1	1	560.0	560.0	528.0	528.0	496.0	496.0	loss	3776	533.0	533	[1, 2, 4, 3, 4, 2, 1, 3]	[1, 2, 4, 3, 4, 2, 1, 3]	random	448.0	448.0	544.0	544.0	134	576.0	576.0	0	624.0	624.0
38	1	1	432.0	432.0	592.0	592.0	512.0	512.0	loss	3984	533.0	533	[4, 2, 3, 1, 3, 1, 2, 4]	[4, 2, 3, 1, 3, 1, 2, 4]	random	720.0	720.0	544.0	544.0	134	608.0	608.0	0	576.0	576.0
