	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	1	1	400.0	397.0	352.0	350.0	352.0	350.0	e	2687	725.0	725	[3, 2, 1, 4, 1, 3, 2, 4]	[3, 2, 1, 4, 1, 3, 2, 4]	random	287.0	285.0	512.0	510.0	108	304.0	302.0	0	480.0	478.0
1	1	1	480.0	478.0	416.0	414.0	352.0	350.0	e	2800	590.0	590	[3, 4, 1, 2, 4, 3, 1, 2]	[3, 4, 1, 2, 4, 3, 1, 2]	random	432.0	430.0	384.0	382.0	108	288.0	286.0	0	448.0	446.0
2	1	1	320.0	318.0	512.0	510.0	304.0	302.0	e	2433	335.0	335	[1, 2, 3, 4, 2, 3, 1, 4]	[1, 2, 3, 4, 2, 3, 1, 4]	random	337.0	335.0	304.0	302.0	108	304.0	302.0	0	352.0	350.0
3	1	1	368.0	366.0	336.0	334.0	384.0	382.0	e	3151	351.0	351	[1, 2, 4, 3, 1, 4, 2, 3]	[1, 2, 4, 3, 1, 4, 2, 3]	random	815.0	813.0	400.0	398.0	108	448.0	446.0	0	400.0	398.0
4	0	1				846.0	304.0	302.0	e	1952	559.0	559	[3, 4, 2, 1, 4]	[3, 4, 2, 1, 3, 1, 2, 4]	random					108	400.0	398.0	0	400.0	398.0
5	1	1	288.0	286.0	336.0	334.0	400.0	398.0	e	2944	363.0	363	[1, 3, 4, 2, 1, 4, 3, 2]	[1, 3, 4, 2, 1, 4, 3, 2]	random	544.0	542.0	448.0	446.0	108	368.0	366.0	0	560.0	558.0
6	1	1	368.0	366.0	528.0	526.0	352.0	350.0	e	2863	367.0	367	[4, 1, 3, 2, 3, 4, 1, 2]	[4, 1, 3, 2, 3, 4, 1, 2]	random	288.0	286.0	431.0	430.0	108	544.0	542.0	0	352.0	350.0
7	0	1							e	224	353.0	353	[4, 1]	[4, 3, 2, 1, 2, 4, 1, 3]	random					108			0		222.0
8	1	1	336.0	334.0	416.0	414.0	384.0	382.0	e	2576	875.0	875	[3, 2, 1, 4, 2, 3, 4, 1]	[3, 2, 1, 4, 2, 3, 4, 1]	random	400.0	398.0	368.0	366.0	108	320.0	318.0	0	352.0	350.0
9	1	1	528.0	526.0	369.0	367.0	320.0	318.0	e	2817	367.0	367	[1, 3, 4, 2, 4, 2, 1, 3]	[1, 3, 4, 2, 4, 2, 1, 3]	random	352.0	350.0	432.0	430.0	108	384.0	382.0	0	432.0	430.0
10	1	1	432.0	430.0	288.0	286.0	336.0	334.0	e	2736	398.0	398	[1, 3, 2, 4, 1, 2, 4, 3]	[1, 3, 2, 4, 1, 2, 4, 3]	random	416.0	414.0	416.0	414.0	108	320.0	318.0	0	528.0	526.0
11	1	1	448.0	446.0	496.0	494.0	352.0	350.0	e	2848	462.0	462	[3, 1, 2, 4, 3, 1, 4, 2]	[3, 1, 2, 4, 3, 1, 4, 2]	random	416.0	414.0	336.0	334.0	108	448.0	446.0	0	352.0	350.0
12	1	1	319.0	317.0	384.0	382.0	320.0	318.0	e	2447	447.0	447	[3, 2, 4, 1, 2, 3, 4, 1]	[3, 2, 4, 1, 2, 3, 4, 1]	random	320.0	319.0	384.0	382.0	108	384.0	382.0	0	336.0	334.0
13	1	1	336.0	334.0	416.0	414.0	304.0	302.0	e	2352	366.0	366	[1, 2, 3, 4, 2, 3, 4, 1]	[1, 2, 3, 4, 2, 3, 4, 1]	random	368.0	366.0	304.0	302.0	108	288.0	286.0	0	336.0	334.0
14	1	1	352.0	350.0	688.0	686.0	288.0	286.0	e	2720	351.0	351	[2, 3, 4, 1, 3, 4, 2, 1]	[2, 3, 4, 1, 3, 4, 2, 1]	random	352.0	350.0	416.0	414.0	108	320.0	318.0	0	304.0	302.0
15	1	1	384.0	382.0	400.0	398.0	304.0	302.0	e	2432	399.0	399	[4, 1, 2, 3, 2, 1, 4, 3]	[4, 1, 2, 3, 2, 1, 4, 3]	random	320.0	318.0	320.0	318.0	108	352.0	350.0	0	352.0	350.0
16	1	1	400.0	398.0	496.0	494.0	321.0	319.0	e	2817	398.0	398	[4, 2, 3, 1, 2, 1, 4, 3]	[4, 2, 3, 1, 2, 1, 4, 3]	random	448.0	446.0	448.0	446.0	108	240.0	238.0	0	464.0	462.0
17	1	1	336.0	334.0	336.0	334.0	336.0	334.0	e	2640	382.0	382	[4, 1, 2, 3, 1, 3, 2, 4]	[4, 1, 2, 3, 1, 3, 2, 4]	random	496.0	494.0	480.0	478.0	108	272.0	270.0	0	384.0	382.0
18	1	1	448.0	446.0	288.0	286.0	304.0	302.0	e	2384	367.0	367	[2, 1, 4, 3, 2, 1, 4, 3]	[2, 1, 4, 3, 2, 1, 4, 3]	random	368.0	366.0	304.0	302.0	108	352.0	350.0	0	320.0	318.0
19	0	1			528.0	526.0	288.0	286.0	e	2255	335.0	335	[1, 2, 3, 4, 3, 4, 3]	[1, 2, 3, 4, 3, 4, 2, 1]	random		190.0	656.0	654.0	108	288.0	286.0	0	303.0	301.0
20	1	1	512.0	510.0	448.0	446.0	288.0	286.0	e	2784	346.0	346	[2, 1, 3, 4, 3, 1, 2, 4]	[2, 1, 3, 4, 3, 1, 2, 4]	random	192.0	190.0	496.0	494.0	108	496.0	494.0	0	352.0	350.0
21	1	1	320.0	318.0	368.0	366.0	576.0	574.0	e	2896	367.0	367	[2, 4, 1, 3, 2, 3, 4, 1]	[2, 4, 1, 3, 2, 3, 4, 1]	random	400.0	398.0	480.0	478.0	108	304.0	302.0	0	448.0	446.0
22	1	1	400.0	398.0	560.0	558.0	336.0	334.0	e	2928	397.0	397	[1, 2, 3, 4, 3, 1, 4, 2]	[1, 2, 3, 4, 3, 1, 4, 2]	random	512.0	510.0	496.0	494.0	108	272.0	270.0	0	352.0	350.0
23	1	1	448.0	446.0	352.0	350.0	288.0	286.0	e	2800	398.0	398	[4, 3, 2, 1, 2, 1, 4, 3]	[4, 3, 2, 1, 2, 1, 4, 3]	random	464.0	462.0	352.0	350.0	108	368.0	366.0	0	528.0	526.0
24	1	1	352.0	350.0	384.0	382.0	272.0	270.0	e	2976	302.0	302	[1, 4, 3, 2, 4, 3, 1, 2]	[1, 4, 3, 2, 4, 3, 1, 2]	random	416.0	414.0	576.0	574.0	108	512.0	510.0	0	464.0	462.0
25	1	1	304.0	302.0	336.0	334.0	288.0	286.0	e	2256	654.0	654	[3, 2, 4, 1, 2, 3, 4, 1]	[3, 2, 4, 1, 2, 3, 4, 1]	random	304.0	302.0	368.0	366.0	108	352.0	350.0	0	304.0	302.0
26	0	1							e	592	414.0	414	[2, 4, 1]	[2, 4, 3, 1, 2, 4, 1, 3]	random					108		222.0	0	368.0	366.0
27	1	1	336.0	334.0	368.0	366.0	336.0	334.0	e	2576	346.0	346	[1, 2, 3, 4, 1, 4, 2, 3]	[1, 2, 3, 4, 1, 4, 2, 3]	random	368.0	366.0	512.0	510.0	108	320.0	318.0	0	336.0	334.0
28	1	1	336.0	334.0	320.0	318.0	336.0	333.0	e	2863	383.0	383	[4, 3, 1, 2, 3, 2, 1, 4]	[4, 3, 1, 2, 3, 2, 1, 4]	random	352.0	350.0	352.0	350.0	108	496.0	494.0	0	671.0	669.0
29	1	1	320.0	318.0	352.0	350.0	368.0	366.0	e	2864	349.0	349	[1, 3, 4, 2, 3, 2, 4, 1]	[1, 3, 4, 2, 3, 2, 4, 1]	random	528.0	526.0	352.0	350.0	108	384.0	382.0	0	560.0	558.0
30	0	1		350.0	336.0	334.0	352.0	350.0	e	2592	400.0	400	[2, 1, 3, 4, 2, 1, 4, 2]	[2, 1, 3, 4, 2, 1, 4, 3]	random	496.0	494.0	272.0	270.0	108	432.0	430.0	0	352.0	350.0
31	1	1	352.0	350.0	384.0	382.0	384.0	382.0	e	2496	328.0	328	[2, 3, 1, 4, 2, 3, 1, 4]	[2, 3, 1, 4, 2, 3, 1, 4]	random	416.0	414.0	304.0	302.0	108	336.0	334.0	0	320.0	318.0
32	1	1	368.0	366.0	368.0	366.0	352.0	350.0	e	2992	302.0	302	[1, 3, 2, 4, 1, 3, 2, 4]	[1, 3, 2, 4, 1, 3, 2, 4]	random	384.0	382.0	560.0	558.0	108	416.0	414.0	0	544.0	542.0
33	1	1	384.0	382.0	368.0	366.0	336.0	334.0	e	2849	414.0	414	[4, 1, 3, 2, 4, 2, 1, 3]	[4, 1, 3, 2, 4, 2, 1, 3]	random	384.0	382.0	512.0	510.0	108	529.0	527.0	0	336.0	334.0
34	1	1	512.0	510.0	448.0	446.0	480.0	478.0	e	3040	381.0	381	[3, 1, 2, 4, 3, 2, 1, 4]	[3, 1, 2, 4, 3, 2, 1, 4]	random	304.0	302.0	320.0	318.0	108	528.0	526.0	0	448.0	445.0
35	1	1	496.0	494.0	464.0	462.0	288.0	286.0	e	3104	446.0	446	[1, 4, 3, 2, 3, 1, 2, 4]	[1, 4, 3, 2, 3, 1, 2, 4]	random	400.0	398.0	448.0	446.0	108	528.0	526.0	0	480.0	478.0
36	0	1							e	768	462.0	462	[3, 4, 1]	[3, 4, 2, 1, 3, 4, 2, 1]	random					108		350.0	0	416.0	414.0
37	1	1	576.0	574.0	384.0	382.0	368.0	366.0	e	2943	345.0	345	[1, 3, 2, 4, 2, 3, 1, 4]	[1, 3, 2, 4, 2, 3, 1, 4]	random	352.0	350.0	384.0	382.0	108	320.0	318.0	0	559.0	557.0
38	0	1			624.0	622.0	496.0	494.0	e	2720	494.0	494	[1, 2, 4, 3, 4, 3, 2]	[1, 2, 4, 3, 4, 3, 1, 2]	random		302.0	352.0	350.0	108	496.0	494.0	0	448.0	446.0
39	1	1	416.0	414.0	416.0	414.0	384.0	382.0	e	3056	329.0	329	[1, 3, 2, 4, 1, 3, 2, 4]	[1, 3, 2, 4, 1, 3, 2, 4]	random	400.0	398.0	480.0	478.0	108	352.0	350.0	0	608.0	606.0
