	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	1	1	2	1	A	3	3	4	4	2	108
1	7	2	4	2	random	4	1	3	3	1	108
2	7	1	4	1	random	4	2	3	3	2	108
3	6	4	3	1	random	2	2	1	3	4	108
4	6	4	2	1	random	3	3	1	2	4	108
5	2	2	1	3	B	1	4	3	2	4	108
6	1	3	3	2	C	2	4	1	4	1	108
7	7	3	4	2	random	1	2	1	3	4	108
8	7	1	3	1	random	3	2	4	2	4	108
9	7	1	3	4	random	1	2	4	3	2	108
10	7	4	2	4	random	3	3	1	2	1	108
11	6	3	4	3	random	2	2	1	1	4	108
12	7	1	2	3	random	4	4	3	1	2	108
13	7	1	4	3	random	1	2	3	4	2	108
14	2	3	1	4	random	1	4	2	2	3	108
